Plants_Common_Name,Plants_Latin_Name,Plants_Family,Plants_category,Moisture_percent,Ash_percent,Fibres_Total_g100g,Lipids_Total_g100g,Proteins_Total_g100g,Carbohydrates_Total_g100g,Sugar_Total_g100g,Energy_kcal100g,Mg_Mineral_mgKg,Zn_Mineral_mgKg,Fe_Mineral_mgKg,Ca_Mineral_mgKg,P_Mineral_mgKg,Mn_Mineral_mgKg,K_Mineral_mgKg,Na_Mineral_mgKg,Cu_Mineral_mgKg,Pb_HeavyMetal_mgKg,Se_HeavyMetal_mgKg,Cr_HeavyMetal_mgKg,S_HeavyMetal_mgKg,VitaminC_ascorbicacid_ugg,VitaminA_Retinol_ugg,VitaminB1_thiamine_ugg,VitaminB2_riboflavin_ugg,VitaminB3_nicotinicacid_ugg,VitaminB3_nicotinamide_ugg,VitaminB3_total_niacin_ugg,VitaminB5_pantothenicacid_ugg,VitaminB6_pyridoxine_ugg,VitaminB8_biotin_ugg,VitaminB9_folicacid_ugg,VitaminB12_cobalamin_ugg,VitaminE_tocopherol_ugg,Palmitic_16:0_percent,Palmitoleic_16:1_percent,Oleic_18:1_percent,Omega6_Linoleic_18:2_percent,Omega-3_α-linolenicacid_18:3_percent,Omega-6_γ-Linolenic_18:3_percent,Stearic_18:0_percent,Butyricacid_4:0_percent,Hexanoicacid_6:0_percent,Caprylicacid_8:0_percent,Capricacid_10:0_percent,Undecanoicacid_11:0_percent,Lauricacid_12:0_percent,Myristicacid_14:0_percent,Pentadecanoicacid_15:0_percent,Heptadecanoicacid_17:0_percent,Heptadecenoicacid_17:1_percent,Arachidic_20:0_percent,Omega9_Heneicosenoicacid_21:1_percent,Tricosanoicacid_23:0_percent,Behenic_22:0_percent,Lignocericacid_24:0_percent,Trans-omega9_Elaidicacid_18:1_percent,Omega9_Eicosenoicacid_20:1_percent,Cis-omega12_Petroselinicacid_18:1_percent,Omega9_11-Eicosenoicacid_20:9_percent,Omega9_Erucicacid_22:1_percent,Omega9_Nervonicacid_24:1_percent,Omega3_Docosahexaenoicacid_22:6_percent,Omega6_Linolelaidicacid_18:2trans_percent,Omega6_Eicosadienoicacid_20:2_percent,Omega6_Dihomo-y-linolenicacid_20:3_percent,Omega6_Eicosatrienoicacid_20:3_percent,Omega6_Arachidonicacid_20:4_percent,Omega3_Eicosapentaenoicacid_20:5_percent,TSFA_gKg,TMFAs_gKg,PUFAs_gKg,TUSFA_g/Kg,TUSFA/SFA,EAA_Arginine_mgg,EAA_Histidine_mgg,EAA_Isoleucine_mgg,EAA_Leucine_mgg,EAA_Lysine_mgg,EAA_Methionine_mgg,EAA_Phenylalanine_mgg,EAA_Threonine_mgg,EAA_Tryptophan_mgg,EAA_Valine_mgg,Total_AAs_mgg,Total_NEAAs_mgg,Total_EAAs_mgg,TEAA/TAA,Author,,
Nevada biscuitroot ,Lomatium nevadense,Apiaceae,Wildflowers,NA,NA,NA,2.9,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Bird's-foot trefoil ,Lotus corniculatus,Fabaceae,Wildflowers,NA,NA,NA,NA,35.8 ± 1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanley et al. 2008,,
Narrow-leaf bird's-foot trefoil ,Lotus tenuis,Fabaceae,Wildflowers,NA,NA,NA,1.9,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Blue lupin ,Lupinus angustifolius,Fabaceae,Wildflowers,13.0-16.0,NA,NA,NA,33.7-34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4-16.0,6.8-8.2,13.6-14.3,23.4-24.4,10.0-21.5,6.2-6.4,13.0-14.7,12.7-13.4,NA,16.4-16.7,NA,NA,NA,NA,Sommerville 2006,,
Logspur lupine ,Lupinus arbustus,Fabaceae,Wildflowers,NA,NA,NA,1.6,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Lupinus arbustus ,Lupinus arbustus var 2,Fabaceae,Wildflowers,NA,NA,NA,1.4,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Silvery lupine ,Lupinus argenteus,Fabaceae,Wildflowers,NA,NA,NA,2.3,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Silvery lupine ,Lupinus argenteus var 2,Fabaceae,Wildflowers,NA,NA,NA,2.3,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Silvery lupine ,Lupinus argenteus var 3,Fabaceae,Wildflowers,NA,NA,NA,2.5,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Brewer's lupine ,Lupinus breweri,Fabaceae,Wildflowers,NA,NA,NA,2.8,41.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Pacific lupine ,Lupinus lepidus,Fabaceae,Wildflowers,NA,NA,NA,1.9,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Pacific lupine ,Lupinus lepidus var 2,Fabaceae,Wildflowers,NA,NA,NA,2.6,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Soft lupine ,Lupinus malacophyllus,Fabaceae,Wildflowers,NA,NA,NA,1.6,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Nevada lupine ,Lupinus nevadensis,Fabaceae,Wildflowers,NA,NA,NA,2.1,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Large-leaved lupine ,Lupinus polyphyllus,Fabaceae,Wildflowers,NA,NA,NA,2.0,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Tall yellow sweetclover ,Melilotus altissima,Fabaceae,Wildflowers,NA,NA,NA,NA,39.2 ± 1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanley et al. 2008,,
Whitestem blazingstar ,Mentzelia albicaulis,Loasaceae,Wildflowers,NA,NA,NA,3.4,41.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Veatch's blazingstar ,Mentzelia veatchiana,Loasaceae,Wildflowers,NA,NA,NA,3.2,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Mountain coyote mint ,Monardella odoratissima,Lamiaceae,Wildflowers,NA,NA,NA,4.0,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Lotus,Nelumbo nucifera,Nelumbonaceae,Wildflowers,6.0 ± 0.3,4.2 ± 0.2,3.126 ± 0.254,5.2 ± 0.2,17.0 ± 0.6,71.6 ± 0.3,NA,400 ± 5,2777 ± 49,46.25 ± 0.57,76.4 ± 0.4 ,1867 ± 7 ,9587 ± 23 ,NA,8204 ± 127 ,NA,15.92 ± 0.17 ,0.05 ± 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.38 ± 3.21,0.72 ± 0.02,23.48 ± 1.1,4.33 ± 0.17,NA,NA,3.85 ± 0.18,NA,NA,NA,0.72 ± 0.07,NA,NA,0.96 ± 0.04,NA,NA,NA,0.6 ± 0.14,NA,NA,0.96 ± 0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2 ± 0.6,6.5 ± 0.2,8.6 ± 0.5,12.5 ± 0.6,9.5 ± 0.4,2.5 ± 0.1,7.9 ± 0.5,6.6 ± 0.3,9.4 ± 0.6,10.2 ± 0.6,162.4 ± 13.2,95.2 ± 2,67.2 ± 2.1,41.4,Yang et al. 2013,,
Red bartsia ,Odontites verna,Orobanchaceae,Wildflowers,NA,NA,NA,NA,36.6 ± 0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanley et al. 2008,,
Sainfoin  ,Onobrychis viciifolia,Fabaceae,Wildflowers,NA,NA,NA,NA,37.5 ± 1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hanley et al. 2008,,
Tundra aster ,Oreostemma alpigenum,Asteraceae,Wildflowers,NA,NA,NA,6.6,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Flander's poppy,Papaver rhoeas,Papaveraceae,Wildflowers,7.3 ± 0.3,2.7 ± 0.1,1.846 ± 0.116,2.2 ± 0.1,18.6-25.5 ,70.3 ± 0.3,NA,398 ± 6,704-1237,50-78,95-132,833-1967,2463-5852,27,4490-9038,427-463,9.0-16.0,0.1 ± 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.26 ± 0.15,NA,24.74 ± 1.86,8.39 ± 0.85,58.52 ± 4.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67 ± 0.02,NA,NA,2.42 ± 0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4 ± 0.5,9.1 ± 0.4,11.8 ± 0.6,18.4 ± 0.6,13.5 ± 0.3,4.3 ± 0.1,11.2 ± 0.6,9.1 ± 0.5,13.8 ± 0.1,14.1 ± 0.5,242.3 ± 0.3,146.1 ± 2.3,96.2 ± 0.9,39.7,Yang et al. 2013; Hanley et al. 2008,,
Little elephant's head lousewort ,Pedicularis attollens,Orobanchaceae,Wildflowers,NA,NA,NA,1.4,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Elephant's head ,Pedicularis groenlandica,Orobanchaceae,Wildflowers,NA,NA,NA,2.0,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Hotrock penstemon ,Penstemon deustus,Plantaginaceae,Wildflowers,NA,NA,NA,4.9,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Slender Beardtongue ,Penstemon gracilentus,Plantaginaceae,Wildflowers,NA,NA,NA,5.2,41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Sierra penstemon ,Penstemon heterodoxus,Plantaginaceae,Wildflowers,NA,NA,NA,5.7,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Sierra penstemon ,Penstemon heterodoxus var 2,Plantaginaceae,Wildflowers,NA,NA,NA,5.4,41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Mountain pride ,Penstemon newberryi,Plantaginaceae,Wildflowers,NA,NA,NA,3.5,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Palmer's penstemon ,Penstemon palmeri,Plantaginaceae,Wildflowers,NA,NA,NA,3.5,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Roezl's penstemon ,Penstemon roezlii,Plantaginaceae,Wildflowers,NA,NA,NA,3.7,44.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Meadow penstemon ,Penstemon rydbergii,Plantaginaceae,Wildflowers,NA,NA,NA,4.9,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Royal Beardtongue ,Penstemon speciosus,Plantaginaceae,Wildflowers,NA,NA,NA,3.5,47.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Watson Beardtongue ,Penstemon watsonii,Plantaginaceae,Wildflowers,NA,NA,NA,4.5,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
Bolander's yampah ,Perideridia bolanderi,Apiaceae,Wildflowers,NA,NA,NA,4.6,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaudo et al. 2024,,
